"trial","item1","item2","item3","casemarker1","casemarker2","casemarker3","final","condition"
1,"sumbark","bimdah","haagle","nellby","jeelow","rakken","sumbark nellby bimdah jeelow haagle rakken","correlated"
2,"makkot","bimdah","haagle","nellby","jeelow","rakken","makkot nellby bimdah jeelow haagle rakken","correlated"
3,"goorshell","pakrid","barget","nellby","jeelow","rakken","goorshell nellby pakrid jeelow barget rakken","correlated"
4,"goorshell","bimdah","sumbark","nellby","jeelow","rakken","goorshell nellby bimdah jeelow sumbark rakken","correlated"
5,"bimdah","haagle","goorshell","nellby","jeelow","rakken","bimdah nellby haagle jeelow goorshell rakken","correlated"
6,"sumbark","chelad","barget","nellby","jeelow","rakken","sumbark nellby chelad jeelow barget rakken","correlated"
7,"makkot","barget","goorshell","nellby","jeelow","rakken","makkot nellby barget jeelow goorshell rakken","correlated"
8,"makkot","goorshell","chelad","nellby","jeelow","rakken","makkot nellby goorshell jeelow chelad rakken","correlated"
9,"haagle","sumbark","pakrid","nellby","jeelow","rakken","haagle nellby sumbark jeelow pakrid rakken","correlated"
10,"sumbark","barget","fisslin","nellby","jeelow","rakken","sumbark nellby barget jeelow fisslin rakken","correlated"
11,"makkot","haagle","barget","nellby","jeelow","rakken","makkot nellby haagle jeelow barget rakken","correlated"
12,"bimdah","barget","makkot","nellby","jeelow","rakken","bimdah nellby barget jeelow makkot rakken","correlated"
13,"dingep","sumbark","haagle","nellby","jeelow","rakken","dingep nellby sumbark jeelow haagle rakken","correlated"
14,"chelad","makkot","haagle","nellby","jeelow","rakken","chelad nellby makkot jeelow haagle rakken","correlated"
15,"makkot","dingep","pakrid","nellby","jeelow","rakken","makkot nellby dingep jeelow pakrid rakken","correlated"
16,"dingep","sumbark","fisslin","nellby","jeelow","rakken","dingep nellby sumbark jeelow fisslin rakken","correlated"
17,"pakrid","barget","sumbark","nellby","jeelow","rakken","pakrid nellby barget jeelow sumbark rakken","correlated"
18,"barget","goorshell","pakrid","nellby","jeelow","rakken","barget nellby goorshell jeelow pakrid rakken","correlated"
19,"sumbark","haagle","dingep","nellby","jeelow","rakken","sumbark nellby haagle jeelow dingep rakken","correlated"
20,"goorshell","fisslin","haagle","nellby","jeelow","rakken","goorshell nellby fisslin jeelow haagle rakken","correlated"
1,"sumbark","bimdah","haagle","nellby","rakken","jeelow","sumbark nellby bimdah rakken haagle jeelow","isolated"
2,"makkot","bimdah","haagle","nellby","rakken","jeelow","makkot nellby bimdah rakken haagle jeelow","isolated"
3,"goorshell","pakrid","barget","nellby","jeelow","rakken","goorshell nellby pakrid jeelow barget rakken","isolated"
4,"goorshell","bimdah","sumbark","nellby","jeelow","rakken","goorshell nellby bimdah jeelow sumbark rakken","isolated"
5,"bimdah","haagle","goorshell","nellby","rakken","jeelow","bimdah nellby haagle rakken goorshell jeelow","isolated"
6,"sumbark","chelad","barget","nellby","rakken","jeelow","sumbark nellby chelad rakken barget jeelow","isolated"
7,"makkot","barget","goorshell","nellby","rakken","jeelow","makkot nellby barget rakken goorshell jeelow","isolated"
8,"makkot","goorshell","chelad","nellby","rakken","jeelow","makkot nellby goorshell rakken chelad jeelow","isolated"
9,"haagle","sumbark","pakrid","nellby","jeelow","rakken","haagle nellby sumbark jeelow pakrid rakken","isolated"
10,"sumbark","barget","fisslin","nellby","rakken","jeelow","sumbark nellby barget rakken fisslin jeelow","isolated"
11,"makkot","haagle","barget","nellby","jeelow","rakken","makkot nellby haagle jeelow barget rakken","isolated"
12,"bimdah","barget","makkot","nellby","rakken","jeelow","bimdah nellby barget rakken makkot jeelow","isolated"
13,"dingep","sumbark","haagle","nellby","rakken","jeelow","dingep nellby sumbark rakken haagle jeelow","isolated"
14,"chelad","makkot","haagle","nellby","jeelow","rakken","chelad nellby makkot jeelow haagle rakken","isolated"
15,"makkot","dingep","pakrid","nellby","jeelow","rakken","makkot nellby dingep jeelow pakrid rakken","isolated"
16,"dingep","sumbark","fisslin","nellby","jeelow","rakken","dingep nellby sumbark jeelow fisslin rakken","isolated"
17,"pakrid","barget","sumbark","nellby","rakken","jeelow","pakrid nellby barget rakken sumbark jeelow","isolated"
18,"barget","goorshell","pakrid","nellby","jeelow","rakken","barget nellby goorshell jeelow pakrid rakken","isolated"
19,"sumbark","haagle","dingep","nellby","jeelow","rakken","sumbark nellby haagle jeelow dingep rakken","isolated"
20,"goorshell","fisslin","haagle","nellby","jeelow","rakken","goorshell nellby fisslin jeelow haagle rakken","isolated"
